datum,year,,woy,date,NW,WC,SW,NC,C,SC,NE,EC,SE,STATE,
Days Suitable,1981,KS,49,19811206,2,4,6,2,3,4,2.5,2,2.5,3.5,
Days Suitable,1981,KS,50,19811213,4.5,6,6.5,4,5.5,6,3.5,3,3.5,5,
Days Suitable,1981,KS,51,19811220,3.5,5.5,6,2,5,6,2.5,2.5,4,4,
Days Suitable,1981,KS,52,19811227,,,,,,,,,,3,
Days Suitable,1982,KS,7,19810214,,,,,,,,,,0,
Days Suitable,1982,KS,8,19820221,,,,,,,,,,0,
Days Suitable,1982,KS,9,19820328,,,,,,,,,,1,
Days Suitable,1982,KS,10,19820307,,,,,,,,,,2,
Days Suitable,1982,KS,11,19820314,,,,,,,,,,3.5,
Days Suitable,1982,KS,12,19820321,,,,,,,,,,2.5,
Days Suitable,1982,KS,13,19820328,,,,,,,,,,,
Days Suitable,1982,KS,14,19820404,,,,,,,,,,,
Days Suitable,1982,KS,15,19820411,,,,,,,,,,,
Days Suitable,1982,KS,16,19820418,6.5,5.5,6.5,5,6,6.5,5.5,6,6.5,6,
Days Suitable,1982,KS,17,19820425,6.5,6.5,6.5,4.5,6.5,6.5,5.5,6,7,6,
Days Suitable,1982,KS,18,19820502,3,4,5,2,5,5,5,4,4,4.5,
Days Suitable,1982,KS,19,19820509,2.5,3.5,4.5,2.5,5,5,4,4,3.5,4,
Days Suitable,1982,KS,20,19820516,2,4,3.5,0.5,2.5,3.5,3,2.5,3.5,3,
Days Suitable,1982,KS,21,19820523,3,5,1.5,1.5,2,2,1,0.5,0,1.5,
Days Suitable,1982,KS,22,19820530,2,3.5,2.5,0.5,1,1,0,0.5,0.5,1,
Days Suitable,1982,KS,23,19820606,1,2.5,3.5,0.5,0.5,1,0,0,0,1,
Days Suitable,1982,KS,24,19820613,3.5,4.5,5,2,2.5,3.5,1.5,0.5,0.5,2.5,
Days Suitable,1982,KS,25,19820620,2,2,4,2,2.5,2.5,1.5,1.5,1,2,
Days Suitable,1982,KS,26,19820627,5,3,3,3.5,3,2.5,3.5,2.5,3.5,3,
Days Suitable,1982,KS,27,19820704,2.5,3,5,2,4,4.5,3,3,4,3.5,
Days Suitable,1982,KS,28,19820711,6.5,5,5,4.5,5,5.5,4.5,5,6,5,
Days Suitable,1982,KS,29,19820718,4,5,4.5,5,4.5,6,4,4.5,5.5,4.5,
Days Suitable,1982,KS,30,19820725,6.5,6,6,6,6,6.5,6,6,6.5,6,
Days Suitable,1982,KS,31,19820801,5,4,6.5,6,5,6,7,6.5,6.5,6,
Days Suitable,1982,KS,32,19820808,7,6.5,6,6,5,6.5,6.5,7,7,6.5,
Days Suitable,1982,KS,33,19820815,6.5,5.5,7,6,6,6,4.5,5,4.5,5.5,
Days Suitable,1982,KS,34,19820822,6.5,6.5,6.5,6,6.5,6.5,4.5,4.5,3.5,5.5,
Days Suitable,1982,KS,35,19820829,5.5,6.5,7,5,5,6.5,3,4.5,6,5.5,
Days Suitable,1982,KS,36,19820905,5,6.5,6.5,3.5,5.5,6,2.5,5.5,7,5.5,
Days Suitable,1982,KS,37,19820912,5,6,6,5.5,4.5,6.5,2.5,4.5,7,5.5,
Days Suitable,1982,KS,38,19820919,2.5,3,6,3,4.5,4.5,3.5,5.5,4,4,
Days Suitable,1982,KS,39,19820926,6,5.5,6.5,5.5,5,6,4.5,6,6.5,6,
Days Suitable,1982,KS,40,19821003,6,6,6.5,6,5.5,6,6.5,6.5,7,6,
Days Suitable,1982,KS,41,19821010,4.5,5,6,4,5,6,5.5,6,6,5.5,
Days Suitable,1982,KS,42,19821017,5.5,6,6.5,6,6,6,5,5.5,6,6,
Days Suitable,1982,KS,43,19821024,7,6.5,6,5.5,6,6.5,6.5,6,6.5,6,
Days Suitable,1982,KS,44,19821031,7,7,6.5,6.5,6,6,6.5,5.5,6,6.5,
Days Suitable,1982,KS,45,19821107,7,6.5,6.5,6.5,6.5,6.5,5,6.5,6,6.5,
Days Suitable,1982,KS,46,19821114,6,5.5,6.5,6.5,6,6.5,6,6.5,5.5,6,
Days Suitable,1982,KS,47,19821121,7,6.5,6.5,6.5,6.5,6.5,5,5,5.5,6,
Days Suitable,1982,KS,48,19821128,5,6,5.5,6,6,5.5,4.5,4.5,4,5,
Days Suitable,1983,KS,10,19830306,,,,,,,,,,3.5,
Days Suitable,1983,KS,11,19830313,,,,,,,,,,2.5,
Days Suitable,1983,KS,12,19830320,,,,,,,,,,3,
Days Suitable,1983,KS,13,19830327,,,,,,,,,,1.5,
Days Suitable,1983,KS,14,19830403,,,,,,,,,,1,
Days Suitable,1983,KS,15,19830410,,,,,,,,,,0,
Days Suitable,1983,KS,16,19830417,,,,,,,,,,0.5,
Days Suitable,1983,KS,17,19830424,2.5,3.5,5,2,2,2.5,2,3.5,1.5,2.5,
Days Suitable,1983,KS,18,19830501,4,3.5,5.5,2,3,3.5,3,2.5,1.5,3,
Days Suitable,1983,KS,19,19830508,3,5,6.5,3.5,4,5,2,1.5,2,3.5,
Days Suitable,1983,KS,20,19830515,5,6,6,5,6,5,4,4,3,5,
Days Suitable,1983,KS,21,19830522,0.5,3.5,4.5,1,3.5,3.5,1.5,1,1.5,2,
Days Suitable,1983,KS,22,19830529,3.5,5,4.5,3.5,2,3,1.5,2.5,2,3,
Days Suitable,1983,KS,23,19830605,0.5,2,2.5,4.5,3,3,5,4,3,3.5,
Days Suitable,1983,KS,24,19830612,5,3.5,2,5.5,3.5,3,4.5,4,4,4,
Days Suitable,1983,KS,25,19830619,3.5,4.5,2.5,2,3,3.5,3,3,4.5,3.5,
Days Suitable,1983,KS,26,19830626,5.5,7,6.5,5.5,6,6,4,4.5,6.5,5.5,
Days Suitable,1983,KS,27,19830703,3.5,3.5,4,5,3.5,3,3,2.5,2,3.5,
Days Suitable,1983,KS,28,19830710,6.5,7,7,6.5,6,6,5.5,4,4,5.5,
Days Suitable,1983,KS,29,19830717,5.5,6.5,6.5,7,7,6.5,7,6.5,7,6.5,
Days Suitable,1983,KS,30,19830724,6.5,7,7,7,6.5,7,7,7,6,7,
Days Suitable,1983,KS,31,19830731,7,7,6.5,6.5,6.5,7,7,7,7,7,
Days Suitable,1983,KS,32,19830807,7,7,7,7,6.5,7,7,7,6.5,7,
Days Suitable,1983,KS,33,19830814,7,7,6.5,7,7,7,7,7,6.5,7,
Days Suitable,1983,KS,34,19830821,7,7,7,6.5,7,7,7,6.5,7,7,
Days Suitable,1983,KS,35,19830828,7,7,6.5,5.5,6.5,6,6.5,6.5,7,6.5,
Days Suitable,1983,KS,36,19830904,6.5,6.5,6.5,7,6.5,6,5.5,6.5,6.5,6.5,
Days Suitable,1983,KS,37,19830911,6.5,6.5,7,6.5,6.5,6.5,7,6.5,6.5,6.5,
Days Suitable,1983,KS,38,19830918,7,6.5,4.5,6.5,5.5,4.5,6.5,4.5,5.5,5.5,
Days Suitable,1983,KS,39,19830925,7,7,6.5,5.5,5,5,4.5,5,4,5.5,
Days Suitable,1983,KS,40,19831002,7,7,7,5.5,6,6.5,7,6.5,6.5,6.5,
Days Suitable,1983,KS,41,19831009,6.5,6.5,7,5.5,6.5,6,6.5,6,6,6.5,
Days Suitable,1983,KS,42,19831016,6.5,7,5.5,5,4.5,4.5,4,4.5,2,5,
Days Suitable,1983,KS,43,19831023,6.5,4.5,5,3,3.5,2.5,3.5,2.5,1,3.5,
Days Suitable,1983,KS,44,19831030,6.5,6.5,5,4,4,4,2,3,2,4,
Days Suitable,1983,KS,45,19831106,6.5,6,5.5,2,0,2,1,1,1.5,2,
Days Suitable,1983,KS,46,19831113,4,5.5,5,0.5,0,2,1,0.5,1.5,2,
Days Suitable,1983,KS,47,19831120,5.5,6,6.5,4.5,4,5,2,2,3,4,
Days Suitable,1983,KS,48,19831127,3.5,5,4.5,4,3.5,4.5,3,2.5,2,3.5,
